Member ID,Date,Review,Student Review,Campus/Facilities,Club/Societies,Careers Service,Wifi/Internet
1067046,9th March 22,Really good university to be in,5,5,5,5,5
967039,9th March 22,"Lovely campus, with everything you need, and a brilliant university to be a part of",4,5,4,3,4
867038,9th March 22,"A good experience all round. Given the amount of hills, I certainly don't have to stress about leg day at the gym as much as I once did!",3.8,4,4,4,4
567037,9th March 22,"University of Exeter is like a dream come true, perfect student town for a student to be focused towards their work and also enjoy their student life. great career zone to help find employment.",5,5,5,5,5
467033,9th March 22,"Good University, the campus is really local to city centre and loads of facilities at campus",3.6,4,4,3,4
967029,9th March 22,"Exeter is a great university I feel it offers the full university experience: good range of challenging courses, many societies for almost anything you can think of, good campus facilities e.t.c
The only issues I have had have been with timetabling consistently each term giving me classes that overlap. Considering the amount we pay I would at least like to be able to attend my classes! Though this is more an issue with the people in timetabling rather than the university itself I thought it worth mentioning.
Other than that I have had an excellent time at Exeter and really engaged with some wonderful classes and lecturers.",3.8,4,4,3,4
1367020,9th March 22,High quality academic and social experience,5,5,5,5,5
867013,9th March 22,"Great Uni, loved my three years there. Would recommend!",5,5,5,5,5
1267012,9th March 22,The uni is great! So helpful and facilities are great! I do not like all the hills on campus though,4.4,4,5,5,5
1367005,9th March 22,The university offers modern campus facilities and plenty of conveniences.,3,3,3,3,3
767002,8th March 22,It can be a little tricky to get used to.,4,5,4,4,3
667000,8th March 22,Exeter uni is nice as they have so many societies and the professors are so kind as they always reply students email really fast and keen to answer students questions.,3.6,4,5,3,3
566976,8th March 22,Exeter university has a great campus. The teaching staff are really good and the facilities on campus are good as well.,4.2,5,4,4,4
466944,8th March 22,Brilliant place to study and get your degree. Beautiful campus and great facilities.,3.2,4,4,3,1
466938,8th March 22,It is a good university with the good career sevice and facilities. I did not join any clubs so I do not know how it is.,4.6,5,4,5,5
666935,7th March 22,A wonderful university environment,5,5,5,5,5
1266934,7th March 22,A good university with a various amount of facilities available.,3.4,4,3,3,4
1166639,7th March 22,"Good experience, good facilities",5,5,5,5,5
466570,7th March 22,Amazing uni overall with great services,4.8,5,4,5,5
966512,7th March 22,"Great uni, nice societies , good lecturers",4.4,5,5,4,5
966368,23rd February 22,Great university with lots of facilities. It is a Russell Group after all,5,5,5,5,5
1066344,22nd February 22,A good university contains lots of service and help to student. Really can learn a lot in this university.,5,5,5,5,5
766327,18th February 22,"I've been living at Carrick View since September and have felt welcomed, supported, and at home the entire time! My room has really been thought out from a student perspective, which makes studying and living here easy and stress free. It's lovely and quiet where I am in the building, and all the staff are super friendly as well.",5,5,5,5,5
1166319,14th February 22,"I love studying at Exeter. The perfect mix of fun, societies and clubs with a really high level education. I study business and french and have found the lecturers are seminar leaders to be mostly very helpful and attentive. Unlike a lot of universities, as a campus university it is so easy to socialise and make friends as everyone is on campus. I only have one online lecture a week which is incredible in comparison to my friends in bigger unis like Leeds or Bristol who have barely met their course mates as their lectures are almost entirely online. It is such a sociable uni and so easy to meet lots of people, and the stereotypes of people in Exeter are mostly untrue in my opinion. There are a lot of Surrey people here tho. I initially thought that the campus being further away from city would be an issue, but it is literally a ten minute walk. Unlike most other unis, all the main first year acoms are less than a fifteen min walk from campus and the same distance from town.",4.2,5,5,3,5
666312,13th February 22,The university offers rich resources for a good understanding of the subjects. The faculties are supportive and the state of the art facilities for class and seminars are of remarkable standards.,4.4,5,5,4,5
566309,12th February 22,"Love it, on st lukes campus and it’s a really nice environment to be around.",4.2,4,5,4,4
766307,12th February 22,so good i love it so much its so amazing,5,5,5,5,5
566302,11th February 22,"Nothing particularly to complain about, maybe the lectures are a bit too early in the morning for me to come consistently to, but I guess that's on me.",4.6,5,5,4,5
1266299,11th February 22,really beautiful campus with modern facilities,5,5,5,5,5
1166252,11th February 22,"I don't have a lot to say; Exeter is a reasonably good school but I do feel like it lacks a bit diversity, and I don't feel too included as an international student.",2.8,4,3,2,2
466220,11th February 22,Really modern facilities and lots of clubs and societies to get involved with. A very comfortable place to be,4.2,4,5,4,5
666187,11th February 22,"I love being in Exeter, the university is perfect for me, the facilities are great nothing to complain about really. Also the socials are a great way to meet people.",4.4,5,4,4,5
966149,11th February 22,"To talk about the university, an amazing university I have ever come across. This might sound silly but when I got the list of universities to shortlist them I don’t know why but all of a sudden after reading the name university of exeter I decided the I will be going to this particular university itself. And now I think I made a best choice. The campus is amazing, the faculties are like a best friends to us, they just don’t teach also they provide us all the sources. Campus is fully packed with events and other activities every now and then. There always something to learn from the campus. I m glad enough that I chose this university for my masters❤️",5,5,5,5,5
1365814,10th February 22,"As a Drama student, I am not often required to visit the campus. But, from the times that I have been there, my experience has been great.",4.2,4,5,4,4
465750,10th February 22,"Lovely campus, lovely people. Really nice modern feel to it. Huge campus, really green. Course is great. Lecturers really good",3.6,5,3,3,4
865382,9th February 22,"Good facilities and lecturers, need more accommodation on campus though",3.6,4,3,4,4
665364,31st January 22,"The campus is very green, and a beautiful place to work. There are outstanding facilities in each department and a staff that are clearly striving for the best in every student.",4.6,5,5,5,4
1165333,28th January 22,Love the greenish surroundings of the uni.,3.4,4,3,4,3
1065324,13th January 22,"The University's social side is thriving, many clubs and societies to join, many study spaces are full to the brim on campus, the library including! The study spaces are great to work in, ample opportunity to be comfortable at your own desk with a view. Although, a downfall is that the internet connection requires a password which you have to go to IT to find out, otherwise you will be logging into the wifi system every 20-40 minutes which is quite annoying. The Careers Service is great in offering lots of opportunities for talks and events to attend about CV writing and cover letter, but a little more help on one to one meetings talking about applications wouldn't go un-appreciated. Altogether however a lovely University that is supportive and thriving with opportunity.",4,5,5,4,3
1365321,12th January 22,very amazing I am dying from opportunity to study there,5,5,5,5,5
1365320,11th January 22,A good place for masters in data science,5,5,5,5,5
665319,11th January 22,Absolutely love the uni I’m at - so glad I came here as it’s been the best two years so far.,5,5,5,5,5
665317,11th January 22,"The university is mainly great, with good facilities",5,5,5,5,5
565253,11th January 22,"Good rugby, unfortunately on the top of a hill.",3.8,4,4,3,5
865062,11th January 22,"A good uni to study at, a good range of courses as well",4.6,5,4,5,5
965054,11th January 22,Great University amazing campus. Great facilities,5,5,5,5,5
1265047,7th January 22,the University is great the Societys are great,5,5,5,5,5
765033,19th December 21,"It’s good, I do physics and am part of the rugby society. There’s a lot of work in physics but manageable.",4.4,5,4,5,3
964087,18th December 21,"Beautiful campus where there is always something to do, whether it be listening to the grand piano playing in the forum or taking part in a society event. High standard of teaching and great 1:1 support when needed.",4.4,5,5,4,4
1064037,17th December 21,"Ok, nothing special. Nice campus but other than than nightlife is poor and academically it’s on the decline as they don’t have any projects for the future.",3.2,3,4,2,4
564038,16th December 21,No SU so after a sports game there isn’t really anywhere to go,3.6,3,5,4,4
1163831,22nd November 21,"I can't be bothered to right a full review right now , but overall nice campus and good uni",4.4,5,4,4,5
563545,19th November 21,I love going to uni here I find that the WiFi can be very slow at times,3.6,4,4,3,3
863464,19th November 21,"Great uni with nice campus, knowledgeable lecturers",4.4,5,5,4,5
1062990,14th November 21,Very nice main campus with plenty of plants and greenery. Bit hilly,4,4,5,4,3
862870,5th November 21,It’s a pain to get up the hill for every lesson and the location of it means that it’s a decent walk to get to the high street. At least they have buses,3.2,3,4,3,3
662871,3rd November 21,a good place to study here..........,4.4,5,5,4,4
321234,19th October 21,"Great lecturers, lots of study spaces available.",4.4,4,5,4,5
1062678,18th October 21,"a gorgeous campus centred just north of the main city centre, which in itself is big enough to stay interesting, but small enough to feel a part of the community and a sense of belonging. A 20 minute train to the coast is something not to be taken for granted either",4.2,5,4,4,4
962676,14th October 21,Very good - involves everyone and lots of societies to get involved with,5,5,5,5,5
562672,14th October 21,"There’s a reason why it’s one of the best! Amazing facilities, the greenery in Streatham is truly amazing.",3.8,5,4,4,3
862654,7th October 21,Very green university with lots of facilities.,5,5,5,5,5
861694,6th October 21,"Haven’t had too much experience on campus because of covid, but seems okay",3.2,4,3,3,3
661518,6th October 21,"Amazing campus, great teachers and good studying atmosphere",5,5,5,5,5
960330,5th October 21,I would highly recommend choosing the university of Exeter.,4.8,5,5,4,5
860177,5th October 21,Good uni with a lot of socials and clubs,4.8,5,5,5,4
560174,24th September 21,"The taught part of my course doesn't start before Monday, 27th September. So far, my experience with SID and Students' Union has been great and I look forward to meeting people on my course on Monday.",3.6,3,4,4,3
1160169,13th August 21,Good uni :) care for their students,3.8,5,4,2,4
1260082,2nd August 21,Despite COVID circumstances I enjoyed my time at the University of Exeter.,5,5,5,5,5
959960,19th June 21,It's a good university but covid has caused the facilities to decrease.,3.8,5,4,3,4
1159798,16th June 21,"Love everything about Exeter university. Professors, career fairs, societies..everything was on high standards",5,5,5,5,5
659794,16th June 21,Amazing Uni with a beautiful campus. Facilities available are excellent with town being only a walk away! Teaching is very professional with helpful staff!,5,5,5,5,5
1359795,16th June 21,"I had a great three years at Exeter. Although there is room for improvement in the careers services, they were always proactive towards and responsive to student needs.",4.8,5,5,4,5
